yyyy,price,dividend,earnings,book.to.market,t.bill,aaa.rate,baa.rate,long.term.yield,net.equity,risk.free.rate,inflation,eqis,long.term.rate,corp.bond,stock.variance,cross.sec.premium,invest.capital.ratio,crsp.vw,crsp.vwx
1871,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.058857427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1872,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,0.074305532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1873,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.090108147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1874,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.049638119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1875,4.37,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,0.044697863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1876,3.58,0.3,0.28,NaN,NaN,NaN,NaN,NaN,NaN,0.041846129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1877,3.25,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,0.042255515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1878,3.45,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,0.038819214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1879,4.92,0.2,0.38,NaN,NaN,NaN,NaN,NaN,NaN,0.041166122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1880,5.84,0.26,0.49,NaN,NaN,NaN,NaN,NaN,NaN,0.042689334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1881,6.01,0.32,0.44,NaN,NaN,NaN,NaN,NaN,NaN,0.042425334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1882,5.84,0.32,0.43,NaN,NaN,NaN,NaN,NaN,NaN,0.046513653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1883,5.34,0.33,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.046354752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1884,4.34,0.31,0.31,NaN,NaN,NaN,NaN,NaN,NaN,0.042475348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1885,5.2,0.24,0.27,NaN,NaN,NaN,NaN,NaN,NaN,0.032052833,NaN,NaN,NaN,NaN,0.023738903,NaN,NaN,NaN,NaN
1886,5.64,0.22,0.33,NaN,NaN,NaN,NaN,NaN,NaN,0.03842862,NaN,NaN,NaN,NaN,0.016458602,NaN,NaN,NaN,NaN
1887,5.27,0.25,0.36,NaN,NaN,NaN,NaN,NaN,NaN,0.04749565,NaN,NaN,NaN,NaN,0.01829846,NaN,NaN,NaN,NaN
1888,5.14,0.23,0.26,NaN,NaN,NaN,NaN,NaN,NaN,0.039590717,NaN,NaN,NaN,NaN,0.012850602,NaN,NaN,NaN,NaN
1889,5.32,0.22,0.3,NaN,NaN,NaN,NaN,NaN,NaN,0.039359281,NaN,NaN,NaN,NaN,0.006874038,NaN,NaN,NaN,NaN
1890,4.6,0.22,0.29,NaN,NaN,NaN,NaN,NaN,NaN,0.046291072,NaN,NaN,NaN,NaN,0.022621059,NaN,NaN,NaN,NaN
1891,5.41,0.22,0.34,NaN,NaN,NaN,NaN,NaN,NaN,0.044165278,NaN,NaN,NaN,NaN,0.016123532,NaN,NaN,NaN,NaN
1892,5.51,0.24,0.37,NaN,NaN,NaN,NaN,NaN,NaN,0.032519466,NaN,NaN,NaN,NaN,0.01088616,NaN,NaN,NaN,NaN
1893,4.41,0.25,0.26,NaN,NaN,NaN,NaN,NaN,NaN,0.057088564,NaN,NaN,NaN,NaN,0.05458439,NaN,NaN,NaN,NaN
1894,4.3,0.21,0.16,NaN,NaN,NaN,NaN,NaN,NaN,0.022845543,NaN,NaN,NaN,NaN,0.016738738,NaN,NaN,NaN,NaN
1895,4.32,0.19,0.25,NaN,NaN,NaN,NaN,NaN,NaN,0.028540597,NaN,NaN,NaN,NaN,0.028689706,NaN,NaN,NaN,NaN
1896,4.22,0.18,0.21,NaN,NaN,NaN,NaN,NaN,NaN,0.04800483,NaN,NaN,NaN,NaN,0.046433235,NaN,NaN,NaN,NaN
1897,4.75,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,0.026987773,NaN,NaN,NaN,NaN,0.022751517,NaN,NaN,NaN,NaN
1898,5.65,0.2,0.35,NaN,NaN,NaN,NaN,NaN,NaN,0.02983966,NaN,NaN,NaN,NaN,0.032424408,NaN,NaN,NaN,NaN
1899,6.02,0.21,0.48,NaN,NaN,NaN,NaN,NaN,NaN,0.03289683,NaN,NaN,NaN,NaN,0.027096542,NaN,NaN,NaN,NaN
1900,6.87,0.3,0.48,NaN,NaN,NaN,NaN,NaN,NaN,0.034988052,NaN,NaN,NaN,NaN,0.017160114,NaN,NaN,NaN,NaN
1901,7.95,0.32,0.5,NaN,NaN,NaN,NaN,NaN,NaN,0.034077139,NaN,NaN,NaN,NaN,0.037292987,NaN,NaN,NaN,NaN
